FUNCTION    fn   
MAIN        main 
LBRACKET    (    
RBRACKET    )    
LBRACE      {    
LET         let  
ID          x    
COMMA       ,    
ID          y    
COLON       :    
INT         int  
SEMICOLON   ;    
ID          x    
ASSIGN      =    
INT_CONST   1    
SEMICOLON   ;    
ID          y    
ASSIGN      =    
INT_CONST   2    
SEMICOLON   ;    
ID          x    
ASSIGN      =    
ID          x    
PLUS        +    
INT_CONST   3    
PLUS        +    
ID          y    
SEMICOLON   ;    
RBRACE      }    
